appendicitis,0.809,0.781,0.800,0.800,0.832
bands,0.655,0.652,0.666,0.695,0.560
banknote_authentication,0.998,0.998,0.998,0.982,0.706
breast_cancer,0.910,0.906,0.912,0.927,0.890
ecoli,0.733,0.728,0.737,0.769,0.702
glass,0.662,0.672,0.684,0.658,0.436
haberman,0.674,0.671,0.669,0.652,0.692
ionosphere,0.876,0.840,0.874,0.885,0.732
iris,0.952,0.947,0.960,0.949,0.925
movement_libras,0.762,0.765,0.782,0.674,0.553
newthyroid,0.932,0.927,0.926,0.940,0.864
page_block,0.947,0.949,0.948,0.963,0.290
penbased,0.977,0.980,0.983,0.961,0.813
pima,0.668,0.658,0.663,0.700,0.633
ring,0.874,0.796,0.809,0.873,0.762
satimage,0.868,0.866,0.880,0.855,0.778
segment,0.935,0.936,0.938,0.961,0.723
sonar,0.786,0.755,0.794,0.721,0.663
spambase,0.806,0.786,0.814,0.913,0.678
texture,0.962,0.963,0.970,0.925,0.761
twonorm,0.937,0.916,0.957,0.845,0.978
wdbc,0.910,0.905,0.909,0.927,0.891
wine,0.741,0.728,0.708,0.907,0.725
winequality-white,0.560,0.561,0.565,0.607,0.116
winequality-red,0.562,0.555,0.567,0.617,0.274
